SUB	GE	S/P	FP/SP/TP
ನಾನು	G	S	F
ನಾನೂ	G	S	F	
ನಾವು	G	P	F
ನಾವೂ	G	P	F
ನೀನು	G	S	S 
ನೀವು	G	P	S 
ಅವನು	M	S	T	 
ಇವನು	M	S	T 
ಅವಳು	F	S	T 
ಇವಳು	F	S	T 
ಅವರು	G	P	T 
ಇವರು	G	P	T 
ಅದು	N	S	T 
ಅವು		N	P	T	
ಇದು	N	S	T 
ಇವು		N	P	T
ಹುಡುಗ	M	S	T
ಹುಡುಗರು	M	P	T 
ಅಜ್ಜ	M	S	T
ಅಜ್ಜಂದಿರು	M	P	T 
ಅಪ್ಪ	M	S	T 
ಅಪ್ಪಂದಿರು	M	P	T	 
ಶಿಕ್ಷಕ	M	S	T 
ಶಿಕ್ಷಕರು	M	P	T 
ಕವಿ    M	S	T
ಕವಿಗಳು 	M	P	T
ಅಧ್ಯಾಪಕ	M	S 	T 
ಅಧ್ಯಾಪಕರು    M    P	T 
ವೈದ್ಯ	M	S	T
ವೈದ್ಯರು	M	P	T
ನೌಕರ	M	S	T 
ನೌಕರರು	M	P	T 
ಅಣ್ಣ	M	S	T 
ಅಣ್ಣಂದಿರು	M	P	T 
ತಮ್ಮ	M	S	T 
ತಮ್ಮಂದಿರು	M	P	T 
ಚಿಕ್ಕಪ್ಪ	M	S	T 
ಚಿಕ್ಕಪ್ಪಂದಿರು	M	P	T 
ದೊಡ್ಡಪ್ಪ	M	S	T 
ದೊಡ್ಡಪ್ಪಂದಿರು	M	P	T 
ಬಾಲಕ	M	S	T 
ಬಾಲಕರು		M	P	T	
ಚಾಲಕ	M	S	T 
ಚಾಲಕರು		M	P	T 
ಹುಡುಗಿ	F	S	T 
ಹುಡುಗಿಯರು	F	P	T 
ಅಜ್ಜಿ	F	S	T 
ಅಜ್ಜಿಯಂದಿರು		F	P	T
ಅಮ್ಮ	F	S	T 
ಅಮ್ಮಂದಿರು	F	P	T 
ಕವಯಿತ್ರಿ		F	S	T 
ಕವಯಿತ್ರಿಯರು	F	P	T 
ಶಿಕ್ಷಕಿ	F	S	T 
ಶಿಕ್ಷಕಿಯರು 	F	P	T
